Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
,Loop 9,75GB,00:47:43,0:02:16,21.06,21.06,,,,,,
,,,00:46:50,0:02:20,20.11,,,,,,,
,Loop 10,75GB,00:59:24,0:02:53,20.55,21.71,,,,,,
,,,01:06:58,0:03:05,21.71,,,,,,,
,Loop 11,75GB,01:10:16,0:04:41,14.99,14.99,,,,,,
,,,01:14:13,0:05:10,14.36,,,,,,,
,Loop 12,75GB,01:06:38,0:03:24,19.61,19.96,,,,,,
,,,01:00:07,0:03:01,19.96,,,,,,,
,Loop 13,75GB,00:48:22,0:02:41,17.97,18.47,,,,,,
,,,00:51:14,0:02:46,18.47,,,,,,,
TPC-H,Q1,Scale: 100,,0:01:17,,,0:02:37,,,,,
,,,,0:01:18,,,0:02:33,,,,,
,Q6,Scale: 100,,0:01:14,,,0:02:15,,,,,
,,,,0:01:13,,,0:02:18,,,,,
,Q15,Scale: 100,,0:01:50,,,0:05:15,,,,,
,,,,0:01:50,,,0:05:10,,,,,
,Q17,Scale: 100,,0:06:15,,,0:05:08,,,,,
,,,,0:06:08,,,0:05:10,,,,,
PageRank,,2.25 Billion Links,,0:07:54,,,0:06:00,,,,,
,,,,0:07:48,,,0:05:54,,,,,
